Name,Country,Fuel Type,Basin,Power Capacity (MW),Latitude,Longtitude,Collection ID,L1,L2,L3,L4,L5,L6,L7,L8
Huadian Kunshan Thermal power plant,CN,gas,pacific,902,31.34691,121.057601,e8c92c06-fe83-47fc-b8c2-dd0ec5e8d885,121.06132,31.350086,121.053882,31.343734,121.053882,31.350086,121.06132,31.343734
Huadian Longyou Thermal power station,CN,gas,pacific,406,29.102801,119.223022,860ddc74-f218-4891-8967-e09f7127919c,119.226657,29.105977,119.219387,29.099625,119.219387,29.105977,119.226657,29.099625
Huadian Nanning Jiangnan Distributed Gas power station,CN,gas,pacific,120,22.799468,108.238976,9d4505b5-0665-4e9f-a362-6d7722367fc9,108.242421,22.802644,108.235531,22.796292,108.235531,22.802644,108.242421,22.796292
Huadian Pingshan Distributed Gas power station,CN,gas,pacific,365,22.727749,114.396292,30d847a9-e634-4f35-b0e3-746854dfc40e,114.399735,22.730925,114.392849,22.724573,114.392849,22.730925,114.399735,22.724573
Huadian Qingyuan Economic Cooperation Zone Gas fired Thermal power station,CN,gas,pacific,920,24.323807,113.397422,d2c9fc5f-91e2-470a-8e10-2259013dab39,113.400908,24.326983,113.393937,24.320631,113.393937,24.326983,113.400908,24.320631
Huadian Qishuyan Gas power station,CN,gas,pacific,2170,31.735994,120.036947,461da91a-eeba-427c-abda-8dbba600f97a,120.040682,31.73917,120.033213,31.732818,120.033213,31.73917,120.040682,31.732818
Huadian Sanshui Distributed Gas power station,CN,gas,pacific,118,23.259401,112.990974,8f9c525a-75b7-4a10-989c-f1a3688ab732,112.994431,23.262577,112.987517,23.256225,112.987517,23.262577,112.994431,23.256225
Huadian Shanghai Fengxian Gas power station,CN,gas,pacific,1580,30.976344,121.495892,67ac0e1d-fbca-453d-b353-f1ee56d8c620,121.499596,30.97952,121.492188,30.973168,121.492188,30.97952,121.499596,30.973168
Huadian Shijiazhuang Thermal power station,CN,gas,pacific,906,38.06214,114.523836,30fbd35b-a008-4ff7-a104-72a634775a32,114.52787,38.065316,114.519802,38.058964,114.519802,38.065316,114.52787,38.058964
Huadian Tianjin Beichen Distributed Gas power station,CN,gas,pacific,120,39.300646,117.190542,2a257d2f-af42-496e-848d-4bb51e7b958e,117.194646,39.303822,117.186438,39.29747,117.186438,39.303822,117.194646,39.29747
Huadian Tianjin Fuyuan Thermal power station,CN,gas,pacific,400,39.434616,116.983947,79b62dae-4b01-4969-bd35-4ba48425cfd3,116.988059,39.437792,116.979835,39.43144,116.979835,39.437792,116.988059,39.43144
Huadian Tianjin Nanjiang Thermal power station,CN,gas,pacific,930,38.958533,117.576068,090ac2c5-b4af-4f90-8933-ae1c9cd13bf1,117.580153,38.961709,117.571984,38.955357,117.571984,38.961709,117.580153,38.955357
Huadian Wangting power station,CN,gas,pacific,780,31.44435,120.437,933e91bb-f0df-4852-80ae-83910d392bee,120.440723,31.447526,120.433277,31.441174,120.433277,31.447526,120.440723,31.441174
Huadian Wuchang Gas Thermal power station,CN,gas,pacific,370,30.579805,114.312095,11e95367-8f4d-4908-9b9d-40567a0f315a,114.315784,30.582981,114.308406,30.576629,114.308406,30.582981,114.315784,30.576629
Huadian Wujiang Gas power station,CN,gas,pacific,360,30.973956,120.628798,99e78336-5154-4b89-bc8e-9e1a2123a100,120.632502,30.977132,120.625094,30.97078,120.625094,30.977132,120.632502,30.97078
Huadian Xiangyang Fancheng Gas Thermal power station,CN,gas,pacific,246,32.07576,112.086038,6ec0543e-8d70-4cd2-acdd-7db39cddaea3,112.089786,32.078936,112.08229,32.072584,112.08229,32.078936,112.089786,32.072584
Huadian Yangzhou Gas power station,CN,gas,pacific,950,32.42998,119.4759,95e4d2bd-d22c-431a-99bd-96b083780fe3,119.479663,32.433156,119.472137,32.426804,119.472137,32.433156,119.479663,32.426804
Huadian Yizheng Thermal power station,CN,gas,pacific,600,32.287236,119.054979,b8c56c3d-03ce-45c4-911b-10e3901badd4,119.058736,32.290412,119.051222,32.28406,119.051222,32.290412,119.058736,32.28406
Huadian Zengcheng Gas Thermal power station,CN,gas,pacific,1340,23.172274,113.676664,47278c29-3c99-49f6-8946-6f79e123ec7b,113.680119,23.17545,113.673209,23.169098,113.673209,23.17545,113.680119,23.169098
Huadian Zizhuang Gas power station,CN,gas,pacific,120,31.059585,121.357885,a418651f-5c33-4ea4-860f-e9266cbda277,121.361593,31.062761,121.354178,31.056409,121.354178,31.062761,121.361593,31.056409
Huaneng Beijing power station,CN,gas,pacific,2767,39.88448,116.535928,dea775f8-53bc-403b-947a-f84c92987119,116.540067,39.887656,116.531789,39.881304,116.531789,39.887656,116.540067,39.881304
Huaneng Chongqing Liangjiang Gas power station,CN,gas,pacific,940,29.784345,106.512695,dbc34699-76cb-4064-8085-22975c6c997f,106.516355,29.787521,106.509036,29.781169,106.509036,29.787521,106.516355,29.781169
Huaneng Dongguan Gas Thermal power station,CN,gas,pacific,946,22.983207,114.102517,2f739116-675f-46cd-b499-957801591630,114.105967,22.986383,114.099067,22.980031,114.099067,22.986383,114.105967,22.980031
Huaneng Guilin Distributed Gas power station,CN,gas,pacific,210,25.210686,110.180593,d6ad9715-872b-4ab9-a92a-e2e0848a55a5,110.184103,25.213862,110.177083,25.20751,110.177083,25.213862,110.184103,25.20751
Huaneng Jiangyin Gas Thermal power station,CN,gas,pacific,800,31.759171,120.385457,9946db6c-4ee9-46b2-aaf9-9e8c8e8876ef,120.389192,31.762347,120.381722,31.755995,120.381722,31.762347,120.389192,31.755995
Huaneng Nanjing Jinling Gas power station,CN,gas,pacific,1162,32.170428,119.011004,d60e3ead-cfef-477f-8971-e57d557fe85d,119.014756,32.173604,119.007252,32.167252,119.007252,32.173604,119.014756,32.167252
Huaneng Nanshan Gas power station,CN,gas,pacific,132,18.318066,109.159802,40ffef02-e833-4439-95c4-a213bf2d3ee6,109.163148,18.321242,109.156457,18.31489,109.156457,18.321242,109.163148,18.31489
Huaneng Shanghai Gas power station,CN,gas,pacific,1200,31.4639,121.4044,9fb830f4-1349-40de-9222-647fd9333396,121.408124,31.467076,121.400677,31.460724,121.400677,31.467076,121.408124,31.460724
Huaneng Suzhou Gas power station,CN,gas,pacific,510,31.262456,120.564338,1b21fc7c-ceda-442b-bf40-2f7762327591,120.568054,31.265632,120.560623,31.25928,120.560623,31.265632,120.568054,31.25928
Huaneng Taiyuan Dongshan Gas Thermal power station,CN,gas,pacific,860,37.888739,112.664857,6c96e482-9041-4658-9289-4d70308dd1c7,112.668882,37.891915,112.660833,37.885563,112.660833,37.891915,112.668882,37.885563
Huaneng Tianjin Lingang Gas Thermal power station,CN,gas,pacific,463,38.923729,117.72779,8d2e634a-c63f-40de-a626-72712bc09913,117.731873,38.926905,117.723708,38.920553,117.723708,38.926905,117.731873,38.920553
Huaneng Yangpu Cogen power station,CN,gas,pacific,990,19.832144,109.203812,765c3481-8400-4b90-8c1a-7db517bf03a7,109.207188,19.83532,109.200436,19.828968,109.200436,19.83532,109.207188,19.828968
Huaneng Zhongyuan Gas power station,CN,gas,pacific,780,32.957829,114.063822,07ea187a-3e31-400f-87f3-1c663d9c2587,114.067607,32.961005,114.060037,32.954653,114.060037,32.961005,114.067607,32.954653
Huanneng Tongxiang Gas Thermal power station,CN,gas,pacific,458,30.593104,120.35733,6fbe810b-d79c-4dab-a1d5-e17ed00558d5,120.36102,30.59628,120.353641,30.589928,120.353641,30.59628,120.36102,30.589928
Hwasung power station ,KR,gas,pacific,512,37.21903,127.08174,c44a3353-8fdb-4637-8dcc-5b9ca766d2c6,127.085728,37.222206,127.077752,37.215854,127.077752,37.222206,127.085728,37.215854
Ibaraki power plant,JP,gas,pacific,219,36.53835,140.3811,a34e3f97-c8d5-464e-ba3e-13e05298294b,140.385053,36.541526,140.377147,36.535174,140.377147,36.541526,140.385053,36.535174
Ichihara power plant,JP,gas,pacific,110,35.5444,140.0933,c3a60fc1-a29d-4c26-b137-1a7cb6d29b7c,140.097204,35.547576,140.089397,35.541224,140.089397,35.547576,140.097204,35.541224
Ilsan power station ,KR,gas,pacific,930,37.647871,126.797366,805b4cae-f8b1-4648-9096-b0f85d66676a,126.801377,37.651047,126.793355,37.644695,126.793355,37.651047,126.801377,37.644695
